request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,25256.0,affordable_now,full_payment,2024-03-03:25256,2024-03-03,none,"Pay ZAR 25,256 today. This leaves at least ZAR 18,000 available over the next 90 days."
request_02,18376094.03,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,none,"Use 3 installments of IDR 15,952,906.67, starting 8 August 2025. This leaves at least IDR 29,158,400 available."
request_03,1169598.38,affordable_later,wait,2019-11-15:5491000,2019-11-15,none,"Pay IDR 5,491,000 in full on 15 November 2019. Paying earlier would take the balance below the IDR 2,668,700 minimum."
request_04,10283912.78,affordable_later,wait,2024-06-15:12693000,2024-06-15,none,"Pay IDR 12,693,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 30,686,600 minimum."
request_05,0.0,affordable_later,wait,2025-11-06:15488,2025-11-06,none,"Pay ZAR 15,488 in full on 6 November 2025. Paying earlier would take the balance below the ZAR 13,100 minimum."
request_06,558.33,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 620.40 request. Although EUR 558.33 is available today, the full amount cannot be completed safely within 90 days."
request_07,87730.86,affordable_with_plan,installments,2024-09-12:68432.00|2024-10-10:68432.00|2024-11-07:68432.00,2024-10-23,none,"Use 3 installments of INR 68,432, starting 12 September 2024. This leaves at least INR 93,000 available."
request_08,270.65,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 996.60 request. Although EUR 270.65 is available today, the full amount cannot be completed safely within 90 days."
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Pay EUR 166.61 today. This leaves at least EUR 600 available over the next 90 days.
request_10,266700.0,affordable_with_plan,full_payment,2024-12-06:266700,2024-12-06,stop:event_835,"Stop the music subscription, then pay INR 266,700 today. This leaves at least INR 225,400 available."
request_11,12470824.54,affordable_with_plan,full_payment,2025-05-03:13110000,2025-05-15,reduce_to:event_948:755250,"Reduce the games and recreation to IDR 755,250, then pay IDR 13,110,000 today. This leaves at least IDR 34,140,600 available."
request_12,61298.69,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,"Use 3 installments of ZAR 22,590.19, starting 19 April 2026. This leaves at least ZAR 43,200 available."
request_13,941.6,affordable_now,full_payment,2024-03-07:941.60,2024-03-07,none,"Pay EUR 941.60 today. This leaves at least EUR 1,300 available over the next 90 days."
request_14,726.77,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 5,414.20 request. Although EUR 726.77 is available today, the full amount cannot be completed safely within 90 days."
request_15,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 1 February 2026. None of the available options keeps the EUR 1,200 minimum protected."
request_16,122500.0,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,"Pay INR 122,500 today. This leaves at least INR 122,400 available over the next 90 days."
request_17,180566.37,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 274,600 request. Although INR 180,566.37 is available today, the full amount cannot be completed safely within 90 days."
request_18,539.39,affordable_later,wait,2026-09-15:3246.10,2026-09-15,none,"Pay EUR 3,246.10 in full on 15 September 2026. Paying earlier would take the balance below the EUR 1,400 minimum."
request_19,38005.52,affordable_with_plan,partial_payment,2024-09-04:38005.52|2024-09-15:1654.48,2024-09-15,none,"Pay INR 38,005.52 today and the remaining INR 1,654.48 on 15 September 2024. This completes the full request and keeps the INR 92,800 minimum protected."
request_20,7115.46,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 303,700 request. Although INR 7,115.46 is available today, the full amount cannot be completed safely within 90 days."
request_21,1574.4,affordable_now,full_payment,2026-04-03:1574.40,2026-04-03,none,"Pay USD 1,574.40 today. This leaves at least USD 1,800 available over the next 90 days."
request_22,458.85,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-01-15,none,"Use 3 installments of EUR 253.59, starting 8 December 2024. This leaves at least EUR 500 available."
request_23,10683.64,affordable_later,wait,2025-07-15:38016,2025-07-15,none,"Pay ZAR 38,016 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 27,000 minimum."
request_24,15337.1,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 109,600 request. Although INR 15,337.10 is available today, the full amount cannot be completed safely within 90 days."
request_25,1141138.54,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 60,496,000 request. Although IDR 1,141,138.54 is available today, the full amount cannot be completed safely within 90 days."
