user_id,home_currency,current_available_balance,minimum_balance_to_keep,net_headroom,estimated_monthly_income,estimated_fixed_expenses,estimated_flexible_expenses,net_monthly_savings,estimated_runway_days,financial_priorities,protected_categories,willing_to_reduce,willing_to_stop,considered_payment_methods,max_installment_months
user_01,ZAR,58481.1,18000.0,40481.1,12826.0,23984.13,8806.65,-19964.78,37.0,education|debt_repayment,rent|education|groceries|debt_repayment,dining,delivery_membership,full_payment,
user_02,IDR,60383889.2,29158400.0,31225489.2,33345000.0,42929806.43,1658737.4,-11243543.83,21.0,education|family_support,housing|utilities|education,entertainment,cloud_storage,partial_payment|installments,7.0
user_03,IDR,5810300.0,2668700.0,3141600.0,4365000.0,4055936.95,290193.37,18869.68,21.7,retirement_investment|emergency_savings,rent|utilities|groceries,streaming|shopping,streaming|cloud_storage,full_payment|partial_payment|installments,2.0
user_04,IDR,52206950.0,30686600.0,21520350.0,38190000.0,47645192.54,1816869.68,-11272062.22,13.1,education|emergency_savings,rent|groceries|transport,entertainment,music_subscription,full_payment,
user_05,ZAR,46475.1,13100.0,33375.1,14740.0,17581.87,493.24,-3335.11,55.4,healthcare|family_support,rent|healthcare|family_support|groceries,shopping,cloud_storage,full_payment|partial_payment|installments,4.0
user_06,EUR,1942.4,800.0,1142.4,1037.52,1401.87,19.0,-383.35,24.1,emergency_savings|travel,rent|insurance|transport,,streaming,full_payment|partial_payment,
user_07,INR,218945.56,93000.0,125945.56,149000.0,130872.72,37512.86,-19385.58,22.4,debt_repayment|emergency_savings,rent|utilities|debt_repayment,dining,music_subscription,installments,12.0
user_08,EUR,1536.57,800.0,736.57,782.57,1507.1,385.74,-1110.27,11.7,education|debt_repayment,rent|education|groceries|debt_repayment,dining,music_subscription|delivery_membership,full_payment,
user_09,EUR,2231.1,600.0,1631.1,361.45,928.98,0.0,-567.53,52.7,retirement_investment|emergency_savings,rent|utilities|groceries,,,full_payment|partial_payment|installments,2.0
user_10,INR,750155.0,225400.0,524755.0,52239.8,215585.96,58611.95,-221958.11,57.4,education|emergency_savings,rent|groceries|transport,dining|gym|entertainment,music_subscription|delivery_membership,partial_payment|installments,6.0
