event_id,user_id,event_type,description,category,direction,amount,currency,event_date,settlement_date,status,linked_event_id,flexibility,minimum_allowed_amount,resolved_amount,amount_inr,has_image_evidence
event_01,user_01,expense,Apartment rent transfer,rent,debit,5148.0,ZAR,2023-10-02,2023-10-02,settled,,fixed,,5148.0,23314.28,False
event_02,user_01,expense,Household utility payment,utilities,debit,1475.46,ZAR,2023-10-06,2023-10-06,settled,,fixed,,1475.46,6682.07,False
event_03,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2023-10-08,2023-10-08,settled,,fixed,,1821.6,8249.67,False
event_04,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487.0,ZAR,2023-10-11,2023-10-11,settled,,fixed,,3487.0,15791.94,False
event_05,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2023-10-11,2023-10-11,settled,,fixed,,235.4,1066.08,False
event_06,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2023-10-13,2023-10-13,settled,,stoppable,,306.9,1389.89,False
event_07,user_01,expense,Apartment rent transfer,rent,debit,5148.0,ZAR,2023-11-02,2023-11-02,settled,,fixed,,5148.0,23314.28,False
event_08,user_01,expense,Household utility payment,utilities,debit,1483.81,ZAR,2023-11-06,2023-11-06,settled,,fixed,,1483.81,6719.89,False
event_09,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2023-11-08,2023-11-08,settled,,fixed,,1821.6,8249.67,False
event_10,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487.0,ZAR,2023-11-11,2023-11-11,settled,,fixed,,3487.0,15791.94,False
event_11,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2023-11-11,2023-11-11,settled,,fixed,,235.4,1066.08,False
event_12,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2023-11-13,2023-11-13,settled,,stoppable,,306.9,1389.89,False
event_13,user_01,expense,Apartment rent transfer,rent,debit,5148.0,ZAR,2023-12-02,2023-12-02,settled,,fixed,,5148.0,23314.28,False
event_14,user_01,expense,Household utility payment,utilities,debit,1541.75,ZAR,2023-12-06,2023-12-06,settled,,fixed,,1541.75,6982.28,False
event_15,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2023-12-08,2023-12-08,settled,,fixed,,1821.6,8249.67,False
event_16,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487.0,ZAR,2023-12-11,2023-12-11,settled,,fixed,,3487.0,15791.94,False
event_17,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2023-12-11,2023-12-11,settled,,fixed,,235.4,1066.08,False
event_18,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2023-12-13,2023-12-13,settled,,stoppable,,306.9,1389.89,False
event_19,user_01,expense,Apartment rent transfer,rent,debit,5148.0,ZAR,2024-01-02,2024-01-02,settled,,fixed,,5148.0,23314.28,False
event_20,user_01,expense,Household utility payment,utilities,debit,1651.81,ZAR,2024-01-06,2024-01-06,settled,,fixed,,1651.81,7480.72,False
event_21,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2024-01-08,2024-01-08,settled,,fixed,,1821.6,8249.67,False
event_22,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487.0,ZAR,2024-01-11,2024-01-11,settled,,fixed,,3487.0,15791.94,False
event_23,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2024-01-11,2024-01-11,settled,,fixed,,235.4,1066.08,False
event_24,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2024-01-13,2024-01-13,settled,,stoppable,,306.9,1389.89,False
event_25,user_01,income,Prorated first salary,salary,credit,12826.0,ZAR,2024-02-15,2024-02-15,settled,,fixed,,12826.0,58086.44,False
event_26,user_01,expense,Apartment rent transfer,rent,debit,5148.0,ZAR,2024-02-02,2024-02-02,settled,,fixed,,5148.0,23314.28,False
event_27,user_01,expense,Household utility payment,utilities,debit,1386.17,ZAR,2024-02-06,2024-02-06,settled,,fixed,,1386.17,6277.69,False
event_28,user_01,expense,Professional training fee,education,debit,1821.6,ZAR,2024-02-08,2024-02-08,settled,,fixed,,1821.6,8249.67,False
event_29,user_01,debt_payment,Education loan instalment,debt_repayment,debit,3487.0,ZAR,2024-02-11,2024-02-11,settled,,fixed,,3487.0,15791.94,False
event_30,user_01,subscription,Music service subscription,music_subscription,debit,235.4,ZAR,2024-02-11,2024-02-11,settled,,fixed,,235.4,1066.08,False
event_31,user_01,subscription,Delivery service plan,delivery_membership,debit,306.9,ZAR,2024-02-13,2024-02-13,settled,,stoppable,,306.9,1389.89,False
event_32,user_01,expense,Apartment rent transfer,rent,debit,5148.0,ZAR,2024-03-02,2024-03-02,settled,,fixed,,5148.0,23314.28,False
event_33,user_01,expense,Neighbourhood grocer,groceries,debit,925.62,ZAR,2023-09-08,2023-09-08,settled,,fixed,,925.62,4191.95,False
event_34,user_01,expense,Neighbourhood grocer,groceries,debit,939.13,ZAR,2023-09-15,2023-09-15,settled,,fixed,,939.13,4253.14,False
event_35,user_01,expense,Bulk pantry shop,groceries,debit,707.36,ZAR,2023-09-22,2023-09-22,settled,,fixed,,707.36,3203.5,False
event_36,user_01,expense,Grocery delivery,groceries,debit,629.96,ZAR,2023-09-29,2023-09-29,settled,,fixed,,629.96,2852.97,False
event_37,user_01,expense,Local market purchase,groceries,debit,873.17,ZAR,2023-10-06,2023-10-06,settled,,fixed,,873.17,3954.42,False
event_38,user_01,expense,Bulk pantry shop,groceries,debit,915.12,ZAR,2023-10-13,2023-10-13,settled,,fixed,,915.12,4144.4,False
event_39,user_01,expense,Fresh food shop,groceries,debit,644.3,ZAR,2023-10-20,2023-10-20,settled,,fixed,,644.3,2917.91,False
