payment_option_id,request_id,payment_method,payment_amount,number_of_payments,payment_frequency_days,total_duration_days,financing_fee,total_payable_amount,is_recommended_option,request_affordability_status
payment_option_01,request_01,full_payment,25256.0,1,30.0,0.0,0.0,25256.0,False,unknown
payment_option_02,request_01,installments,1852.11,15,30.0,420.0,2525.65,27781.65,False,unknown
payment_option_03,request_01,installments,4546.08,6,31.0,155.0,2020.48,27276.48,False,unknown
payment_option_04,request_01,installments,1283.85,24,28.0,644.0,5556.4,30812.4,False,unknown
payment_option_05,request_02,installments,15952906.67,3,30.0,60.0,1840720.01,47858720.01,False,unknown
payment_option_06,request_02,full_payment,46018000.0,1,30.0,0.0,0.0,46018000.0,False,unknown
payment_option_07,request_02,installments,2914473.33,18,31.0,527.0,6442519.94,52460519.94,False,unknown
payment_option_08,request_03,full_payment,5491000.0,1,30.0,0.0,0.0,5491000.0,False,unknown
payment_option_09,request_03,installments,308541.9,21,28.0,560.0,988379.9,6479379.9,False,unknown
payment_option_10,request_03,installments,279125.83,24,31.0,713.0,1208019.92,6699019.92,False,unknown
payment_option_11,request_04,full_payment,12693000.0,1,30.0,0.0,0.0,12693000.0,False,unknown
payment_option_12,request_04,installments,875817.0,15,30.0,420.0,444255.0,13137255.0,False,unknown
payment_option_13,request_05,full_payment,15488.0,1,30.0,0.0,0.0,15488.0,False,unknown
payment_option_14,request_05,installments,980.91,18,31.0,527.0,2168.38,17656.38,False,unknown
payment_option_15,request_05,installments,787.31,24,30.0,690.0,3407.44,18895.44,False,unknown
payment_option_16,request_06,full_payment,620.4,1,30.0,0.0,0.0,620.4,False,unknown
payment_option_17,request_06,installments,34.86,21,28.0,560.0,111.66,732.06,False,unknown
payment_option_18,request_06,installments,111.67,6,30.0,150.0,49.62,670.02,False,unknown
payment_option_19,request_07,installments,68432.0,3,28.0,56.0,7896.0,205296.0,False,unknown
payment_option_20,request_07,full_payment,197400.0,1,30.0,0.0,0.0,197400.0,False,unknown
payment_option_21,request_07,installments,14476.0,15,30.0,420.0,19740.0,217140.0,False,unknown
payment_option_22,request_08,full_payment,996.6,1,30.0,0.0,0.0,996.6,False,unknown
payment_option_23,request_08,installments,63.12,18,31.0,527.0,139.56,1136.16,False,unknown
payment_option_24,request_09,full_payment,166.61,1,30.0,0.0,0.0,166.61,False,unknown
payment_option_25,request_09,installments,8.22,21,28.0,560.0,6.01,172.62,False,unknown
payment_option_26,request_09,installments,7.29,24,31.0,713.0,8.35,174.96,False,unknown
payment_option_27,request_10,full_payment,266700.0,1,30.0,0.0,0.0,266700.0,False,unknown
payment_option_28,request_10,installments,19558.0,15,30.0,420.0,26670.0,293370.0,False,unknown
payment_option_29,request_11,full_payment,13110000.0,1,30.0,0.0,0.0,13110000.0,False,unknown
payment_option_30,request_11,installments,830300.0,18,31.0,527.0,1835400.0,14945400.0,False,unknown
payment_option_31,request_11,installments,2359800.0,6,28.0,140.0,1048800.0,14158800.0,False,unknown
payment_option_32,request_11,installments,666425.0,24,30.0,690.0,2884200.0,15994200.0,False,unknown
payment_option_33,request_12,installments,22590.19,3,31.0,62.0,2606.57,67770.57,False,unknown
payment_option_34,request_12,full_payment,65164.0,1,30.0,0.0,0.0,65164.0,False,unknown
payment_option_35,request_12,installments,3661.6,21,28.0,560.0,11729.6,76893.6,False,unknown
payment_option_36,request_13,full_payment,941.6,1,30.0,0.0,0.0,941.6,False,unknown
payment_option_37,request_13,installments,69.05,15,30.0,420.0,94.15,1035.75,False,unknown
payment_option_38,request_13,installments,47.86,24,28.0,644.0,207.04,1148.64,False,unknown
payment_option_39,request_14,full_payment,5414.2,1,30.0,0.0,0.0,5414.2,False,unknown
payment_option_40,request_14,installments,342.9,18,31.0,527.0,758.0,6172.2,False,unknown
payment_option_41,request_15,full_payment,3685.0,1,30.0,0.0,0.0,3685.0,False,unknown
payment_option_42,request_15,installments,207.06,21,28.0,560.0,663.26,4348.26,False,unknown
payment_option_43,request_15,installments,187.32,24,31.0,713.0,810.68,4495.68,False,unknown
payment_option_44,request_16,full_payment,122500.0,1,30.0,0.0,0.0,122500.0,False,unknown
payment_option_45,request_16,installments,8983.33,15,30.0,420.0,12249.95,134749.95,False,unknown
payment_option_46,request_16,installments,22050.0,6,31.0,155.0,9800.0,132300.0,False,unknown
payment_option_47,request_17,installments,95194.67,3,30.0,60.0,10984.01,285584.01,False,unknown
payment_option_48,request_17,full_payment,274600.0,1,30.0,0.0,0.0,274600.0,False,unknown
payment_option_49,request_17,installments,17391.33,18,31.0,527.0,38443.94,313043.94,False,unknown
payment_option_50,request_18,full_payment,3246.1,1,30.0,0.0,0.0,3246.1,False,unknown
